district_code,category,scheme,allocated_inr_lakh,fiscal_year
TN_CHENNAI,WATER_SUPPLY,Jal Jeevan Mission,4801.03,2026-27
TN_CHENNAI,SANITATION,Swachh Bharat Mission (Grameen),6381.03,2026-27
TN_CHENNAI,ROADS,PM Gram Sadak Yojana,3401.03,2026-27
TN_CHENNAI,ELECTRICITY,Revamped Distribution Sector Scheme,4691.03,2026-27
TN_CHENNAI,HEALTH,PM Ayushman Bharat Health Infra,5621.03,2026-27
TN_CHENNAI,EDUCATION,Samagra Shiksha Abhiyan,6681.03,2026-27
TN_CHENNAI,DIGITAL,BharatNet Broadband Infra,3051.03,2026-27
TN_CHENNAI,HOUSING,PM Awas Yojana,6831.03,2026-27
TN_CHENNAI,IRRIGATION,PM Krishi Sinchayee Yojana,6591.03,2026-27
TN_CHENNAI,TRANSPORT,State Rural Transport Connect,3021.03,2026-27
TN_COIMBATORE,WATER_SUPPLY,Jal Jeevan Mission,3946.12,2026-27
TN_COIMBATORE,SANITATION,Swachh Bharat Mission (Grameen),1966.12,2026-27
TN_COIMBATORE,ROADS,PM Gram Sadak Yojana,2436.12,2026-27
TN_COIMBATORE,ELECTRICITY,Revamped Distribution Sector Scheme,3776.12,2026-27
TN_COIMBATORE,HEALTH,PM Ayushman Bharat Health Infra,5426.12,2026-27
TN_COIMBATORE,EDUCATION,Samagra Shiksha Abhiyan,4206.12,2026-27
TN_COIMBATORE,DIGITAL,BharatNet Broadband Infra,4486.12,2026-27
TN_COIMBATORE,HOUSING,PM Awas Yojana,2716.12,2026-27
TN_COIMBATORE,IRRIGATION,PM Krishi Sinchayee Yojana,3586.12,2026-27
TN_COIMBATORE,TRANSPORT,State Rural Transport Connect,4766.12,2026-27
TN_MADURAI,WATER_SUPPLY,Jal Jeevan Mission,3337.21,2026-27
TN_MADURAI,SANITATION,Swachh Bharat Mission (Grameen),5007.21,2026-27
TN_MADURAI,ROADS,PM Gram Sadak Yojana,1477.21,2026-27
TN_MADURAI,ELECTRICITY,Revamped Distribution Sector Scheme,6347.21,2026-27
TN_MADURAI,HEALTH,PM Ayushman Bharat Health Infra,2597.21,2026-27
TN_MADURAI,EDUCATION,Samagra Shiksha Abhiyan,6197.21,2026-27
TN_MADURAI,DIGITAL,BharatNet Broadband Infra,4477.21,2026-27
