district_code,category,scheme,allocated_inr_lakh,fiscal_year
TN_CHENNAI,WATER_SUPPLY,Jal Jeevan Mission,5031.03,2026-27
TN_CHENNAI,SANITATION,Swachh Bharat Mission (Grameen),6551.03,2026-27
TN_CHENNAI,ROADS,PM Gram Sadak Yojana,6381.03,2026-27
TN_CHENNAI,ELECTRICITY,Revamped Distribution Sector Scheme,2511.03,2026-27
TN_CHENNAI,HEALTH,PM Ayushman Bharat Health Infra,3581.03,2026-27
TN_CHENNAI,EDUCATION,Samagra Shiksha Abhiyan,4481.03,2026-27
TN_CHENNAI,DIGITAL,BharatNet Broadband Infra,4841.03,2026-27
TN_CHENNAI,HOUSING,PM Awas Yojana,3981.03,2026-27
TN_CHENNAI,IRRIGATION,PM Krishi Sinchayee Yojana,5031.03,2026-27
TN_CHENNAI,TRANSPORT,State Rural Transport Connect,3211.03,2026-27
TN_COIMBATORE,WATER_SUPPLY,Jal Jeevan Mission,2736.12,2026-27
TN_COIMBATORE,SANITATION,Swachh Bharat Mission (Grameen),3876.12,2026-27
TN_COIMBATORE,ROADS,PM Gram Sadak Yojana,5316.12,2026-27
TN_COIMBATORE,ELECTRICITY,Revamped Distribution Sector Scheme,2296.12,2026-27
TN_COIMBATORE,HEALTH,PM Ayushman Bharat Health Infra,4896.12,2026-27
TN_COIMBATORE,EDUCATION,Samagra Shiksha Abhiyan,2686.12,2026-27
TN_COIMBATORE,DIGITAL,BharatNet Broadband Infra,5916.12,2026-27
TN_COIMBATORE,HOUSING,PM Awas Yojana,3536.12,2026-27
TN_COIMBATORE,IRRIGATION,PM Krishi Sinchayee Yojana,4786.12,2026-27
TN_COIMBATORE,TRANSPORT,State Rural Transport Connect,5276.12,2026-27
TN_MADURAI,WATER_SUPPLY,Jal Jeevan Mission,4067.21,2026-27
TN_MADURAI,SANITATION,Swachh Bharat Mission (Grameen),1577.21,2026-27
TN_MADURAI,ROADS,PM Gram Sadak Yojana,3287.21,2026-27
TN_MADURAI,ELECTRICITY,Revamped Distribution Sector Scheme,2487.21,2026-27
TN_MADURAI,HEALTH,PM Ayushman Bharat Health Infra,3477.21,2026-27
TN_MADURAI,EDUCATION,Samagra Shiksha Abhiyan,4457.21,2026-27
TN_MADURAI,DIGITAL,BharatNet Broadband Infra,1487.21,2026-27
TN_MADURAI,HOUSING,PM Awas Yojana,2247.21,2026-27
TN_MADURAI,IRRIGATION,PM Krishi Sinchayee Yojana,5867.21,2026-27
TN_MADURAI,TRANSPORT,State Rural Transport Connect,4697.21,2026-27
TN_TIRUCHIRAPPALLI,WATER_SUPPLY,Jal Jeevan Mission,4415.03,2026-27
TN_TIRUCHIRAPPALLI,SANITATION,Swachh Bharat Mission (Grameen),2995.03,2026-27
TN_TIRUCHIRAPPALLI,ROADS,PM Gram Sadak Yojana,5175.03,2026-27
TN_TIRUCHIRAPPALLI,ELECTRICITY,Revamped Distribution Sector Scheme,3855.03,2026-27
TN_TIRUCHIRAPPALLI,HEALTH,PM Ayushman Bharat Health Infra,5635.03,2026-27
TN_TIRUCHIRAPPALLI,EDUCATION,Samagra Shiksha Abhiyan,4625.03,2026-27
TN_TIRUCHIRAPPALLI,DIGITAL,BharatNet Broadband Infra,3935.03,2026-27
TN_TIRUCHIRAPPALLI,HOUSING,PM Awas Yojana,1305.03,2026-27
TN_TIRUCHIRAPPALLI,IRRIGATION,PM Krishi Sinchayee Yojana,3655.03,2026-27
TN_TIRUCHIRAPPALLI,TRANSPORT,State Rural Transport Connect,1625.03,2026-27
TN_SALEM,WATER_SUPPLY,Jal Jeevan Mission,3856.93,2026-27
TN_SALEM,SANITATION,Swachh Bharat Mission (Grameen),2456.93,2026-27
TN_SALEM,ROADS,PM Gram Sadak Yojana,3276.93,2026-27
TN_SALEM,ELECTRICITY,Revamped Distribution Sector Scheme,2026.93,2026-27
TN_SALEM,HEALTH,PM Ayushman Bharat Health Infra,4026.93,2026-27
TN_SALEM,EDUCATION,Samagra Shiksha Abhiyan,3776.93,2026-27
TN_SALEM,DIGITAL,BharatNet Broadband Infra,4246.93,2026-27
TN_SALEM,HOUSING,PM Awas Yojana,4106.93,2026-27
TN_SALEM,IRRIGATION,PM Krishi Sinchayee Yojana,3096.93,2026-27
TN_SALEM,TRANSPORT,State Rural Transport Connect,5986.93,2026-27
TN_TIRUNELVELI,WATER_SUPPLY,Jal Jeevan Mission,2189.36,2026-27
TN_TIRUNELVELI,SANITATION,Swachh Bharat Mission (Grameen),3489.36,2026-27
TN_TIRUNELVELI,ROADS,PM Gram Sadak Yojana,4299.36,2026-27
TN_TIRUNELVELI,ELECTRICITY,Revamped Distribution Sector Scheme,4709.36,2026-27
TN_TIRUNELVELI,HEALTH,PM Ayushman Bharat Health Infra,769.36,2026-27
TN_TIRUNELVELI,EDUCATION,Samagra Shiksha Abhiyan,749.36,2026-27
TN_TIRUNELVELI,DIGITAL,BharatNet Broadband Infra,5619.36,2026-27
TN_TIRUNELVELI,HOUSING,PM Awas Yojana,4369.36,2026-27
TN_TIRUNELVELI,IRRIGATION,PM Krishi Sinchayee Yojana,959.36,2026-27
TN_TIRUNELVELI,TRANSPORT,State Rural Transport Connect,2639.36,2026-27
TN_ERODE,WATER_SUPPLY,Jal Jeevan Mission,1993.28,2026-27
TN_ERODE,SANITATION,Swachh Bharat Mission (Grameen),5803.28,2026-27
TN_ERODE,ROADS,PM Gram Sadak Yojana,5173.28,2026-27
TN_ERODE,ELECTRICITY,Revamped Distribution Sector Scheme,3833.28,2026-27
TN_ERODE,HEALTH,PM Ayushman Bharat Health Infra,4173.28,2026-27
TN_ERODE,EDUCATION,Samagra Shiksha Abhiyan,2473.28,2026-27
TN_ERODE,DIGITAL,BharatNet Broadband Infra,3023.28,2026-27
TN_ERODE,HOUSING,PM Awas Yojana,4233.28,2026-27
TN_ERODE,IRRIGATION,PM Krishi Sinchayee Yojana,2643.28,2026-27
TN_ERODE,TRANSPORT,State Rural Transport Connect,1793.28,2026-27
TN_VELLORE,WATER_SUPPLY,Jal Jeevan Mission,4356.41,2026-27
TN_VELLORE,SANITATION,Swachh Bharat Mission (Grameen),5016.41,2026-27
TN_VELLORE,ROADS,PM Gram Sadak Yojana,5436.41,2026-27
TN_VELLORE,ELECTRICITY,Revamped Distribution Sector Scheme,1076.41,2026-27
TN_VELLORE,HEALTH,PM Ayushman Bharat Health Infra,5176.41,2026-27
TN_VELLORE,EDUCATION,Samagra Shiksha Abhiyan,4036.41,2026-27
TN_VELLORE,DIGITAL,BharatNet Broadband Infra,3346.41,2026-27
TN_VELLORE,HOUSING,PM Awas Yojana,5326.41,2026-27
TN_VELLORE,IRRIGATION,PM Krishi Sinchayee Yojana,4266.41,2026-27
TN_VELLORE,TRANSPORT,State Rural Transport Connect,3056.41,2026-27
TN_THANJAVUR,WATER_SUPPLY,Jal Jeevan Mission,3442.65,2026-27
TN_THANJAVUR,SANITATION,Swachh Bharat Mission (Grameen),3992.65,2026-27
TN_THANJAVUR,ROADS,PM Gram Sadak Yojana,4392.65,2026-27
TN_THANJAVUR,ELECTRICITY,Revamped Distribution Sector Scheme,3142.65,2026-27
TN_THANJAVUR,HEALTH,PM Ayushman Bharat Health Infra,2272.65,2026-27
TN_THANJAVUR,EDUCATION,Samagra Shiksha Abhiyan,2282.65,2026-27
TN_THANJAVUR,DIGITAL,BharatNet Broadband Infra,3572.65,2026-27
TN_THANJAVUR,HOUSING,PM Awas Yojana,3402.65,2026-27
TN_THANJAVUR,IRRIGATION,PM Krishi Sinchayee Yojana,1522.65,2026-27
TN_THANJAVUR,TRANSPORT,State Rural Transport Connect,4062.65,2026-27
TN_DINDIGUL,WATER_SUPPLY,Jal Jeevan Mission,5361.9,2026-27
TN_DINDIGUL,SANITATION,Swachh Bharat Mission (Grameen),2581.9,2026-27
